,MRNA,AMGN,IQV,ICLR,VRTX,GILD,REGN,ILMN,CRL,SGEN,ILMN,BIIB,TECH,BNTX,BGNE,EXAS,ALNY,NVAX,QGEN,GH,NTRA,BMRN,INCY,TXG,NTLA,CRSP,BBH,SPY,IBB,XBI,ARKG,FBT,LABU,IDNA,PBE,GNOM,BIB,SBIO,BTEC
5/1/2020,47.93,219.608432,136.52,154.15,254.9,75.09486853,525.5,305.88,138.59,145.64,305.88,293.09,226.0923206,45.11,140.21,75.65,128.97,17.33,41.67,73.48,35.07,88.12,97.3,78.41,12.62,48.46,145.069077,276.4856353,120.4623327,90.61326044,39.51828237,147.33,33.89,30.89301492,51.8127,14.02126528,57.48,36.59,36.7451368
5/4/2020,50.5,219.5418782,134.06,153.49,264.69,75.3766504,541.82,308.2,138.35,155.76,308.2,296.52,235.1244872,45.78,137.5,77.43,136.63,18.06,41.42,73.86,36.07,90.36,100.99,77.91,13.89,50,147.3611625,277.2482464,124.0991194,95.20228387,40.83721124,152.04,38.92,32.02834816,53.5,14.57752203,60.9,38.49,38.15906281
5/5/2020,49.34,224.7235648,135.49,151.92,272.33,74.33405748,574.37,310.25,141.04,165.43,310.25,304.44,244.4944907,50,143.5,77.95,141.23,17.78,41.77,77.82,36.31,93.19,98.82,78.17,13.82,52,149.334349,279.8098376,126.5203226,97.26734441,41.22396482,154.24,41.44,32.56613758,54.6,14.99995758,62.97,39.53,39.47633565
5/6/2020,48.95,224.9422415,134.01,150.29,270.06,72.76547173,553.5,315.04,143.66,164.64,315.04,306.78,259.9654295,47.78,144.38,77.9,145.27,17.14,41.91,80.85,35.85,95,96.08,78.7,13.85,52.33,149.0951749,277.9130869,126.5402502,97.75617517,41.45205027,155.14,42.09,32.86490949,55.069,15.05987752,63.32,39.87,39.41754662
5/7/2020,53.19,221.8427372,135.52,156.04,270.01,72.89696994,559.83,313.36,156.56,163.26,313.36,314.01,261.823532,49.32,153.42,82.85,141.45,18.15,42.53,83.95,43.51,92,96.47,80.81,13.65,53.49,150.4305638,281.2666203,126.7096348,97.90581724,41.66030219,155.72,42.33,33.39273985,55.1916,15.07985083,63.38,40.03,39.59690299
5/8/2020,59.25,223.2593818,137.65,158.88,271.63,72.78425719,563.4,309.87,159.56,157.67,309.87,314.02,269.0969599,49.24,156.81,82.01,136.13,18.73,42.83,88.15,43.57,95.2,95.92,82.96,13.64,53.84,152.1047827,285.9205035,127.9451459,99.33240496,42.87014672,157.54,44.01,34.24921931,55.83,15.15075609,64.7,40.4,40.24158947
5/11/2020,66.9,230.7894657,138.65,161.08,285.28,75.89325049,574.11,320.31,164.24,160.96,320.31,328.01,278.1099672,49.98,163.26,83.95,142.43,24.5,42.9,94.72,46.57,96.47,99.33,82.1,15.59,61.29,158.3432414,285.9791659,133.4152717,104.0710705,45.68650612,163.39,50.67,35.85262853,58.34,15.92871661,70.18,42.125,42.12881699
5/12/2020,62.35,225.5317177,134.8,155.35,276.47,73.21632272,557.54,321.55,160.96,161.77,321.55,319.77,271.5044078,49.33,158.38,83.35,144.19,39.82,42.74,96.73,46.07,96.16,96.74,82.59,15.89,59.55,155.0446315,280.2791367,130.5755889,101.8264394,44.76424758,160.72,47.23,35.15549409,57.25,15.70201951,67.25,41.33,41.5538802
5/13/2020,65.18,225.1704258,132.47,154.73,277.03,72.38036984,577.12,323.39,160.89,157.84,323.39,314.96,260.4719298,48.49,160.27,84.59,139.46,40.67,42.85,96.33,46.95,94.68,96.45,80.08,15.75,57.37,155.1243562,275.3221645,129.130838,99.80128344,42.7808959,158.52,44.54,34.66052863,56.1041,15.23963733,65.695,39.93,40.52855966
5/14/2020,64.56,226.2638092,132.37,155.31,277,72.54004623,570.86,322.99,163,160.09,322.99,315.82,260.6907887,48.66,163.24,85.43,136.2,38.3,42.29,92.43,45.12,91.79,94.83,78.97,16.35,55.88,154.1377629,278.6170356,128.5529377,98.88347875,42.18589039,156.88,43.35,34.34880995,55.53,15.2695973,65.21,39.53,40.22564669
5/15/2020,66.69,229.8957436,134.2,157.03,288.69,71.62895152,576.72,335,169.81,160.33,335,316.6,265.923506,49.49,166.26,86.29,139.28,43.63,42.06,97.5,45.23,93.74,96.12,77.95,17.66,61.09,157.1274395,279.8978312,131.7712448,102.4250077,44.51632862,161.13,47.75,35.24014613,57.0953,15.91773129,68.36,41.17,41.65352263
5/18/2020,80,223.1864632,138.56,162.17,284.13,70.22004217,560.28,344.14,171.78,158.95,344.14,315.9,265.4062031,60.17,166.25,83.78,144.87,56.96,42.32,94.42,45.93,95.36,96.46,77.2,18.7,63.98,159.7384238,288.4234323,133.2957061,105.4078729,46.65834845,163.72,51.93,37.09751147,58.44,16.43803607,69.74,42.04,43.1650982
5/19/2020,71.67,217.6735594,140.86,159.24,282.28,67.94700174,557.6,342.55,169.88,157.16,342.55,310.08,258.7011624,50.59,168.82,83.09,142.41,53.9,42.25,96.78,45.95,93.89,94.92,78.2,19.44,63.56,157.1772675,285.4609814,130.7350097,102.4050554,46.22201107,161.8,47.53,35.81279228,57.06,16.1584097,67.19,40.98,42.12582772
5/20/2020,73.47,218.094684,145.42,164.39,284.62,69.40287474,576.89,357.73,175.86,155.78,357.73,309.53,268.3607982,53.04,165.8,85.01,143.45,52.81,43.14,96.4,46.53,94.04,98.32,78,19.8,66.79,159.2800067,290.3104059,133.4252355,105.3679684,47.72935836,165.89,51.54,36.75890331,58.657,16.55887461,70,42.455,43.33449032
5/21/2020,67.05,215.1372408,143.2,164.74,284.63,69.03655831,560.98,349.42,175.23,154.2,349.42,304.46,265.3664106,51.9,164.6,83.18,141.86,50.07,42.93,95.86,45.5,94.85,98.68,76,20.57,67.78,156.4996074,288.3061075,131.9904484,104.5399489,47.77894215,164.25,50.42,36.28086826,58.23,16.6377692,68.34,42.52,42.88510299
5/22/2020,69,216.7164581,142.9,166.51,284.96,68.88627464,569.91,354.7,173.61,155.77,354.7,304.53,265.018226,51.03,159.12,83.59,140.52,46.11,42.99,96.91,45.47,97.51,99.37,74.85,20.99,69.94,157.6755469,288.8536232,132.8572989,105.7969423,49.14745481,164.94,52.2,36.85849394,58.5378,16.86746229,69.58,42.66,43.3045976
5/26/2020,57.71,212.8593396,143.5,167.7,266.5,68.73599098,545.21,354.41,171.38,151.73,354.41,295.87,259.2980503,50.88,163.9,80.81,136.43,48.17,43.26,89.04,43.265,103.74,98.68,76,19.1,66.34,153.4102749,292.412475,130.3364577,103.3029078,47.61035726,162.86,48.47,35.62357007,57.3736,16.60780923,66.75,42.06,42.45763699
5/27/2020,52.18,215.1659539,146.82,164.48,278.51,70.35154037,544.01,363.82,174.58,152.97,363.82,301.46,255.9355818,47.59,160.915,82.11,133.35,45.465,43.02,87.73,43.27,106.7,98.22,77.66,17.85,63.93,154.1477285,296.7632691,131.5221498,103.3328363,45.76584019,163.4,48.37,35.28496191,57.51,16.58284259,67.81,42.17,42.30418766
5/28/2020,55.54,214.515125,146.2,165.61,277.38,70.74603499,578.21,373.01,176.13,151.55,373.01,300.5,257.0597207,46.87,162.36,83.89,133.1,44.84,43.44,87.85,43.44,105.6,100.55,76.29,17.52,62.31,156.3002957,296.2157535,131.8509552,102.2953179,44.91299896,163.55,47.03,35.21524847,57.2077,16.3501535,68.11,41.26,41.90960366
